year,month,decimal_year,average,deseasonalized,days,daily_std,monthly_unc,month_id,quality
2012,12,2012.9583,394.57,395.27,29,0.44,0.16,24155,reported
2013,1,2013.0417,395.78,395.62,28,0.6,0.22,24156,reported
2013,2,2013.125,397.03,396.23,25,0.57,0.22,24157,reported
2013,3,2013.2083,397.66,396.07,30,0.71,0.25,24158,reported
2013,4,2013.2917,398.64,395.79,22,0.59,0.24,24159,reported
2013,5,2013.375,400.02,396.64,28,0.37,0.13,24160,reported
2013,6,2013.4583,398.81,396.48,26,0.43,0.16,24161,reported
2013,7,2013.5417,397.51,397.13,21,0.52,0.22,24162,reported
2013,8,2013.625,395.39,397.27,27,0.45,0.16,24163,reported
2013,9,2013.7083,393.72,397.24,26,0.35,0.13,24164,reported
2013,10,2013.7917,393.9,397.25,28,0.16,0.06,24165,reported
2013,11,2013.875,395.36,397.35,30,0.6,0.21,24166,reported
2013,12,2013.9583,397.03,397.78,30,0.48,0.17,24167,reported
2014,1,2014.0417,398.04,397.74,31,0.49,0.17,24168,reported
2014,2,2014.125,398.27,397.45,27,0.51,0.19,24169,reported
2014,3,2014.2083,399.91,398.37,22,0.84,0.34,24170,reported
2014,4,2014.2917,401.51,398.63,26,0.5,0.19,24171,reported
2014,5,2014.375,401.96,398.56,22,0.51,0.21,24172,reported
2014,6,2014.4583,401.43,399.1,28,0.36,0.13,24173,reported
2014,7,2014.5417,399.27,398.85,25,0.55,0.21,24174,reported
2014,8,2014.625,397.18,399.07,22,0.28,0.12,24175,reported
2014,9,2014.7083,395.54,399.11,21,0.54,0.23,24176,reported
2014,10,2014.7917,396.16,399.58,24,0.73,0.29,24177,reported
2014,11,2014.875,397.4,399.49,27,0.37,0.14,24178,reported
2014,12,2014.9583,399.08,399.81,29,0.6,0.21,24179,reported
2015,1,2015.0417,400.18,399.92,30,0.55,0.19,24180,reported
2015,2,2015.125,400.55,399.77,28,0.63,0.23,24181,reported
2015,3,2015.2083,401.74,400.22,24,1.02,0.4,24182,reported
2015,4,2015.2917,403.35,400.46,26,0.86,0.32,24183,reported
2015,5,2015.375,404.15,400.7,30,0.32,0.11,24184,reported
2015,6,2015.4583,402.97,400.65,29,0.47,0.17,24185,reported
2015,7,2015.5417,401.46,401.11,24,0.57,0.22,24186,reported
2015,8,2015.625,399.11,401.04,28,0.74,0.27,24187,reported
2015,9,2015.7083,397.82,401.43,25,0.32,0.12,24188,reported
2015,10,2015.7917,398.49,401.89,28,0.56,0.2,24189,reported
2015,11,2015.875,400.27,402.24,25,0.58,0.22,24190,reported
2015,12,2015.9583,402.06,402.72,30,0.67,0.23,24191,reported
2016,1,2016.0417,402.73,402.45,27,0.56,0.21,24192,reported
2016,2,2016.125,404.25,403.4,25,1.11,0.43,24193,reported
2016,3,2016.2083,405.06,403.54,28,0.81,0.29,24194,reported
2016,4,2016.2917,407.6,404.77,23,1.04,0.41,24195,reported
2016,5,2016.375,407.9,404.41,29,0.5,0.18,24196,reported
2016,6,2016.4583,406.99,404.59,26,0.6,0.23,24197,reported
2016,7,2016.5417,404.59,404.24,28,0.88,0.32,24198,reported
2016,8,2016.625,402.45,404.41,24,0.6,0.23,24199,reported
2016,9,2016.7083,401.23,404.85,25,0.44,0.17,24200,reported
2016,10,2016.7917,401.79,405.23,29,0.3,0.11,24201,reported
2016,11,2016.875,403.72,405.74,27,0.72,0.26,24202,reported
2016,12,2016.9583,404.64,405.33,29,0.44,0.16,24203,reported
2017,1,2017.0417,406.36,406.04,27,0.68,0.25,24204,reported
2017,2,2017.125,406.66,405.8,26,0.71,0.27,24205,reported
2017,3,2017.2083,407.54,406.05,24,1.03,0.4,24206,reported
2017,4,2017.2917,409.22,406.37,26,0.86,0.32,24207,reported
2017,5,2017.375,409.89,406.37,27,0.57,0.21,24208,reported
2017,6,2017.4583,409.08,406.68,26,0.54,0.2,24209,reported
2017,7,2017.5417,407.33,407.01,28,0.61,0.22,24210,reported
2017,8,2017.625,405.32,407.31,29,0.32,0.12,24211,reported
2017,9,2017.7083,403.57,407.17,26,0.37,0.14,24212,reported
2017,10,2017.7917,403.82,407.23,27,0.3,0.11,24213,reported
2017,11,2017.875,405.31,407.36,26,0.41,0.15,24214,reported
2017,12,2017.9583,407.0,407.71,31,0.57,0.2,24215,reported
2018,1,2018.0417,408.15,407.83,29,0.55,0.19,24216,reported
2018,2,2018.125,408.52,407.61,28,0.52,0.19,24217,reported
2018,3,2018.2083,409.59,408.06,29,0.65,0.23,24218,reported
2018,4,2018.2917,410.45,407.65,21,0.9,0.38,24219,reported
2018,5,2018.375,411.44,407.98,24,0.86,0.33,24220,reported
2018,6,2018.4583,410.99,408.6,29,0.61,0.22,24221,reported
2018,7,2018.5417,408.9,408.6,27,0.46,0.17,24222,reported
2018,8,2018.625,407.16,409.17,31,0.28,0.1,24223,reported
2018,9,2018.7083,405.71,409.3,29,0.45,0.16,24224,reported
2018,10,2018.7917,406.19,409.56,30,0.32,0.11,24225,reported
2018,11,2018.875,408.21,410.24,24,0.56,0.22,24226,reported
2018,12,2018.9583,409.27,409.99,30,0.5,0.17,24227,reported
2019,1,2019.0417,411.03,410.69,26,1.26,0.47,24228,reported
2019,2,2019.125,411.96,410.97,27,1.14,0.42,24229,reported
2019,3,2019.2083,412.18,410.71,28,1.12,0.4,24230,reported
2019,4,2019.2917,413.54,410.92,27,0.6,0.22,24231,reported
2019,5,2019.375,414.86,411.47,28,0.5,0.18,24232,reported
2019,6,2019.4583,414.15,411.74,27,0.36,0.13,24233,reported
2019,7,2019.5417,411.96,411.64,25,0.81,0.31,24234,reported
2019,8,2019.625,410.17,412.1,29,0.32,0.11,24235,reported
2019,9,2019.7083,408.76,412.26,29,0.35,0.13,24236,reported
2019,10,2019.7917,408.74,412.09,29,0.31,0.11,24237,reported
2019,11,2019.875,410.47,412.5,26,0.4,0.15,24238,reported
2019,12,2019.9583,411.97,412.71,31,0.4,0.14,24239,reported
2020,1,2020.0417,413.59,413.22,29,0.73,0.26,24240,reported
2020,2,2020.125,414.32,413.4,28,0.69,0.25,24241,reported
2020,3,2020.2083,414.72,413.35,26,0.32,0.12,24242,reported
2020,4,2020.2917,416.42,413.92,28,0.65,0.24,24243,reported
2020,5,2020.375,417.28,413.98,27,0.61,0.23,24244,reported
2020,6,2020.4583,416.58,414.15,27,0.44,0.16,24245,reported
2020,7,2020.5417,414.58,414.19,30,0.57,0.2,24246,reported
2020,8,2020.625,412.75,414.6,25,0.25,0.1,24247,reported
2020,9,2020.7083,411.5,414.9,29,0.31,0.11,24248,reported
2020,10,2020.7917,411.49,414.79,30,0.22,0.08,24249,reported
